Company	Major	Grade	Award	Semester	Need/No Need	Rexburg	Rigby	Idaho Falls	IF	Sugar City	St Anthony	Ammon	Blackfoot	Pocatello	Driggs	Refs	Location	Paid/Unpaid	International?	Married?	Scheduled hours			Notes				
			2,250.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in WA supporting 2 households with travel expense	40	 in WA supporting 2 households	45	75
			375	SP22	No Need												Outside	Paid			working 30 	8	19	Single working 30 hrs/wk paid in MA with no need, but travel expense	30	 in MA	30	36
			500	SP22	Need		Rigby										Eastern Idaho	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in Rigby with travel expense	25	 in Rigby	32	41
			750	SP22	Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in Idaho Falls with travel expense	20	 in Idaho Falls	45	60
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in WA with no need and travel expense	40	 in WA	44	50
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
			2,500.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	34	45	Married with child international working 40 hrs/wk paid in Washinginn DC high cost area and travel expense	40	#VALUE!	56	8
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	30	36
			750	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls with travel expense	20	 in Idaho Falls	33	48
			750	SP22	Need		Rigby										Eastern Idaho	Unpaid			working 33 	8	19	Single working 33 hrs/wk unpaid in Rigby with travel expense	33	 in Rigby	32	41
			250	SP22	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	32	#VALUE!
			184	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Vicinr ID with no need but travel expense	40	 in Vicinr ID	30	43
			1,250.00	SP22	Need												Outside	Paid		Yes	working 40 	23	34	Married with children working 40 hrs/wk paid in ST Louis with travel expense	40	#VALUE!	45	8
			750	SP22	Need												Outside	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in UT with travel expense 	25	 in UT	32	38
			1,250.00	SP22	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in CA with travel expense and medium housing cost	40	 in CA	30	36
			375	SP22	No Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with no need, but travel expense	20	 in Rigby	33	42
			1,000.00	SP22	Need												Outside	Unpaid	Yes		working 23 	22	33	Single international working 23 hrs/wk unpaid in UT with travel expense	23	 in UT	46	52
			184	SP22	Need	Rexburg											Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Rexburg 	40	#VALUE!	30	#VALUE!
			1,000.00	SP22	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 35 	9	20	Married working 35 hrs/wk unpaid in Rigby with travel expense	35	 in Rigby	33	42
			250	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid remote with no need, but travel expense 	40	#VALUE!	#VALUE!	38
			184	SP22	No Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls living with family, with no need, but travel expense	40	 in Idaho Falls living	30	52
			1,000.00	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in Idaho Falls with traqvel expense	40	 in Idaho Falls	33	48
			1,750.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in CA supporting 2 households with travel expenses	40	 in CA supporting 2 households	45	75
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	33	44
			1,250.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	34	45	Married with child international working 40 hrs/wk paid in CA with high cost of living expense and travel expense	40	#VALUE!	56	8
			250	SP22	No Need			Idaho Falls									Eastern Idaho	Unpaid			working 28 	8	19	Single working 28 hrs/wk unpaid in Idaho Falls with no need but travel expense	28	 in Idaho Falls	32	47
			250	SP22	No Need												Outside	Unpaid		Yes	working 22 	9	20	Married working 22 hrs/wk unpaid in Portland OR living with family, with no need, but travel expense	22	 in Portland OR living	33	55
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in WI with no need, but travel expense	40	 in WI	44	50
			250	SP22	No Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	30	45
			750	SP22	Need		Rigby										Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rigby with travel expense	20	 in Rigby	33	42
			250	SP22	No Need												Outside	Paid		Yes	working 32 	9	20	Married working 32 hrs/wk paid in Ashinn with no need, but travel expense	32	 in Ashinn	31	41
			750	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho Falls with travel expense and background check and drug test	20	 in Idaho Falls	32	47
Jefferson Elementary	Social Work (UG21-BS)	4th year undergraduate/senior	500	SP22	Need		Rigby										Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rigby with travel expense	20	 in Rigby	32	41
			500	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in Idaho Falls with travel expense	25	 in Idaho Falls	32	47
			750	SP22	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in WA with travel expense	40	 in WA	30	36
			500	SP22	No Need												Outside	Paid			working 40	8	18	Single working 40hrs/wk paid in CA with no need, but travel expense	40	 in CA	29	35
			1,000.00	SP22	Need		Rigby										Eastern Idaho	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in Rigby with travel expense 	40	#VALUE!	42	8
			1,000.00	SP22	Need									Pocatello			Eastern Idaho	Unpaid		Yes	working 40 	9	20	Married working 40 hrs/wk unpaid in Pocatello with travel expense	40	 in Pocatello	33	46
			1,750.00	SP22	Need												Outside	Unpaid			working 45 	8	19	Single working 45 hrs/wk unpaid in Washininn DC medium cost housing with travel expense	45	 in Washininn DC medium cost housing	32	68
			250	SP22	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in CO with travel expense	40	 in CO	30	36
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	33	#VALUE!
			184	SP22	Need	Rexburg											Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Rexburg 	20	#VALUE!	30	#VALUE!
			500	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in VA with no need, but travel expense	40	 in VA	31	37
			750	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	31	37
			375	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with no need, but travel	40	 in UT	44	50
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 80 	8	19	Single working 80 hrs/wk paid in Rexburg with no need 	80	 in Rexburg	30	41
			184	SP22	No Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in AZ living with family, with no need, but travel expense	40	#VALUE!	42	8
			750	SP22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in UT with travel expense	40	 in UT	44	50
			750	SP22	Need	Rexburg											Eastern Idaho	Paid	Yes	Yes	working 20 	37	48	Married with children international working 20 hrs/wk paid in Rexburg 	20	#VALUE!	59	8
			500	SP22	Need									Pocatello			Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Pocatello with travel expense	40	 in Pocatello	44	57
			250	SP22	Need	Rexburg											Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Rexburg	20	#VALUE!	32	#VALUE!
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg with no need 	40	 in Rexburg	44	55
			500	SP22	Need												Outside	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid remote 	20	#VALUE!	#VALUE!	#VALUE!
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Rexburg with no need	25	 in Rexburg	33	44
			1,500.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with travel expense	40	 in UT	45	51
			500	SP22	Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in UT with travel expense	40	 in UT	30	36
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Rexburg with travel expense	40	 in Rexburg	32	43
			184	SP22	No Need												Outside	Paid			working 50 	8	19	Single working 50 hrs/wk paid in UT with no need, but travel expense	50	 in UT	30	36
			184	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Meridian ID living with family with no need, but travel expense	40	 in Meridian ID living	31	53
			750	SP22	No Need												Outside	Paid			working 40 	22	33	Single itnernational working 40 hrs/wk paid in UT with no need, but travel expense	40	 in UT	44	50
			1,000.00	SP22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Minissota with travel expenses	40	 in Minissota	44	57
			375	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Seattle with no need, but have travel expense	40	 in Seattle	30	41
			1,500.00	SP22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in AZ supporting 2 households with travel expense	40	 in AZ supporting 2 households	31	61
			1,000.00	SP22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in UT with travel expense	40	 in UT	31	37
			750	SP22	Need												Outside	Unpaid	Yes		working 20 	22	33	Single international working 20 hrs/wk unpaid in UT with travel expense	20	 in UT	46	52
			1,000.00	SP22	Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in Hayden ID with travel expense	40	#VALUE!	42	8
			250	SP22	No Need										Driggs		Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Driggs with no need but travel expense	40	 in Driggs	31	41
			500	SP22	No Need												Outside	Paid	Yes	Yes	working 20 	37	48	Married with children international working 20 hrs/wk paid in UT with no need 	20	#VALUE!	59	8
			1,000.00	SP22	Need												Outside	Unpaid	Yes		working 40 	22	33	Single international working 40 hrs/wk unpaid in NV with travel expense	40	 in NV	46	52
			500	SP22	No Need												Outside	Paid	Yes		working 40 	39	50	Stu is a Single international student working 40 hrs/wk a week paid in North Caroline. No need. They do have a travel expense.	40	#VALUE!	68	#VALUE!
			500	SP22	No Need												Outside	Paid	Yes		working 40 	30	41	Single international student working 40 hrs/wk a week paid in Minnesota. No need. They do have a travel expense. 	40	#VALUE!	59	#VALUE!
			375	SP22	No Need												Outside	Unpaid		Yes	working 20 	20	31	Married US student working 20 hrs/wk a week unpaid in ST. Anthony. No need. They do have a travel expense. 	20	#VALUE!	51	#VALUE!
			500	SP22	Need												Outside	Paid	Yes		working 40 	30	41	Single international student working 40 hrs/wk a week paid in Utah. They do have financial need. They do have a travel expense. 	40	#VALUE!	59	#VALUE!
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid			working 30 	19	30	Single US student working 30 hrs/wk a week unpaid in Rexburg. No need.	30	#VALUE!	50	#VALUE!
			184	SP22	No Need												Outside	Paid			#VALUE!	#VALUE!	12	Single, 40 hrs/wk a week paid in TX, living with family, no need cut in half, transportation expense	#VALUE!	 in TX, living	30	44
			500	SP22	No Need												Outside	Paid		Yes	#VALUE!	#VALUE!	26	Married with 1 child, 40 hrs/wk a week paid in UT, transportation expense, no need	#VALUE!	#VALUE!	44	8
			750	SP22	Need												Outside	Paid	Yes	Yes	#VALUE!	#VALUE!	28	Married, international, 20 hrs/wk a week paid, SLC, transportation expense	#VALUE!	#VALUE!	#VALUE!	#VALUE!
			250	SP22	Need	Rexburg											Eastern Idaho	Unpaid			#VALUE!	#VALUE!	12	Single, 20 hrs/wk a week unpaid in Rexburg	#VALUE!	#VALUE!	32	#VALUE!
			500	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid			#VALUE!	#VALUE!	12	Single, 25 hrs/wk a week unpaid in Idaho Falls, transportation expense	#VALUE!	#VALUE!	32	#VALUE!
			1,000.00	SP22	Need												Outside	Paid	Yes		#VALUE!	#VALUE!	27	Single, international, 40 hrs/wk a week paid in ND, transportation expense	#VALUE!	#VALUE!	45	#VALUE!
			375	SP22	No Need												Outside	Paid		Yes	#VALUE!	#VALUE!	13	Married, 40 hrs/wk a week paid in Lehi, UT, no need, transportation expense	#VALUE!	#VALUE!	31	#VALUE!
			1,000.00	SP22	Need								Blackfoot				Eastern Idaho	Unpaid		Yes	#VALUE!	#VALUE!	13	Married, 40 hrs/wk a week unpaid in Blackfoot, transportation expense	#VALUE!	#VALUE!	33	#VALUE!
			250	SP22	No Need		Rigby										Eastern Idaho	Unpaid			#VALUE!	#VALUE!	12	Single, 20 hrs/wk a week unpaid in Rigby, no need, transporation expense	#VALUE!	#VALUE!	32	#VALUE!
			375	SP22	No Need												Outside	Paid			#VALUE!	#VALUE!	12	Single, 40 hrs/wk a week paid in MI, No need cut in half, transportation expense	#VALUE!	#VALUE!	30	#VALUE!
			500	SP22	No Need												Outside	Paid	Yes		#VALUE!	#VALUE!	27	Single, international, 40 hrs/wk a week paid in OR, transportation expense, no need	#VALUE!	#VALUE!	45	#VALUE!
			250	SP22	Need												Outside	Unpaid		Yes	#VALUE!	#VALUE!	16	Married, 20-25 hrs/wk a week unpaid in SLC, living with family, transportation expense	#VALUE!	 in SLC, living	36	51
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	#VALUE!	#VALUE!	13	Married, 20 hrs/wk a week unpaid in Rexburg, no need	#VALUE!	#VALUE!	33	#VALUE!
			750	SP22	Need												Outside	Paid		Yes	#VALUE!	#VALUE!	13	Married, 40 hrs/wk a week paid in SLC, transportation expense	#VALUE!	#VALUE!	31	#VALUE!
			184	SP22	No Need												Outside	Paid			#VALUE!	#VALUE!	12	Single, 48 hrs/wk a week paid in ID, no need, transportation expense	#VALUE!	#VALUE!	30	#VALUE!
			250	SP22	Need												Outside	Paid	Yes		#VALUE!	#VALUE!	27	Single, international, 25 hrs/wk a week paid at BYUI	#VALUE!	#VALUE!	#VALUE!	#VALUE!
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	10	21	Married, working 40 hrs/wk. a week, paid, Rexburg, no need.	40	#VALUE!	#VALUE!	#VALUE!
Family Search	International Studies (UG19-BA)	4th year undergraduate/senior	1,000.00	SP22	Need												Outside	Paid	Yes	Yes	working 20 	25	36	Married, International, working 20 hrs/wk. a week, paid, SLC, transportation expense.	20	#VALUE!	#VALUE!	#VALUE!
			750	SP22	Need												Outside	Paid			working 35 	9	20	Single, working 35 hrs/wk. a week , paid, Missouri, travel expense.	35	#VALUE!	#VALUE!	#VALUE!
			184	SP22	No Need			Idaho Falls									Eastern Idaho	Paid			working 39 	9	20	Single, working 39 hrs/wk. a week, paid, Idaho Falls, no need, travel expense.	39	#VALUE!	#VALUE!	#VALUE!
			1,000.00	SP22	No Need												Outside	Paid	Yes		working 40 	24	35	Single, International, working 40 hrs/wk. a week, paid, AZ, no need, travel expense, high cost housing.	40	#VALUE!	#VALUE!	#VALUE!
			250	SP22	Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week, paid, remote, travel expense.	40	#VALUE!	#VALUE!	#VALUE!
			250	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 20 	21	32	Married with child, working 20 hrs/wk. a week paid, Rexburg, no need.	20	#VALUE!	#VALUE!	8
			750	SP22	Need												Outside	Paid	Yes		working 40 	24	35	Single, International, working 40 hrs/wk. a week paid, Portland OR, supporting 2 households, travel expense.	40	#VALUE!	#VALUE!	#VALUE!
			625	SP22	No Need												Outside	Paid	Yes		working 40 	24	35	Single, International, working 40 hrs/wk. a week paid, AZ, travel expense, no need.	40	#VALUE!	#VALUE!	#VALUE!
			250	SP22	Need												Outside	Unpaid			working 40 	9	20	Single, working 40 hrs/wk. a week unpaid, AZ, living with family, travel expense.	40	#VALUE!	#VALUE!	53
			250	SP22	No Need												Outside	Paid			working 40 	9	20	Single, working 40 hrs/wk. a week paid, Provo, UT, travel expense, no need.	40	#VALUE!	#VALUE!	#VALUE!
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 25 	10	21	Married, working 25 hrs/wk. a week paid, Rexburg, no need.	25	#VALUE!	#VALUE!	#VALUE!
			375	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	#VALUE!	#VALUE!	28	Married with one child, 20 hrs/wk. a week, unpaid, Rexburg, no need.	#VALUE!	#VALUE!	#VALUE!	8
			625	SP22	No Need												Outside	Unpaid		Yes	working 20 	10	21	Married, working 20 hrs/wk. a week unpaid, Kentucky, no need, travel expense.	20	#VALUE!	#VALUE!	#VALUE!
			875	SP22	No Need												Outside	Paid		Yes	working 40 	25	36	Married with one child, working 40 hrs/wk a week paid, Indiana, supporting 2 hrs/wkeholds, travel expense, no need.	40	#VALUE!	#VALUE!	8
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid			working 30-40 	9	23	Single, working 30-40 hrs/wk. a week unpaid, remote- Rexburg.	40	#VALUE!	#VALUE!	#VALUE!
			1,000.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	25	36	Married, International, working 40 hrs/wk. a week paid, SLC, travel expense.	40	#VALUE!	#VALUE!	#VALUE!
			500	SP22	Need												Outside	Paid		Yes	working 35-40 	10	24	Married, working 35-40 hrs/wk. a week paid, American Falls, ID, travel expense.	40	#VALUE!	#VALUE!	#VALUE!
			750	SP22	Need												Outside	Paid	Yes		#VALUE!	#VALUE!	30	Single, International, 25-40 hrs/wk. a week paid, UT, travel expense.	#VALUE!	#VALUE!	#VALUE!	#VALUE!
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	#VALUE!	#VALUE!	13	Married, 20 hrs/wk. a week unpaid, Rexburg, no need.	#VALUE!	#VALUE!	#VALUE!	#VALUE!
			750	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20-25 	10	24	Married, working 20-25 hrs/wk. a week unpaid, Idaho Falls, travel expense.	25	#VALUE!	#VALUE!	#VALUE!
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	10	21	Married, working 20 hrs/wk. a week unpaid, Rexburg, no need.	20	#VALUE!	#VALUE!	#VALUE!
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 21 	10	21	Married, working 21 hrs/wk. a week unpaid, Rexburg, travel expense.	21	#VALUE!	#VALUE!	#VALUE!
			500	SP22	Need			Idaho Falls									Eastern Idaho	Paid	Yes		working 50 	24	35	Single, International, working 50 hrs/wk. a week paid, Idaho Falls, travel expense.	50	#VALUE!	#VALUE!	#VALUE!
			375	SP22	No Need												Outside	Paid		Yes	working 40 	10	21	Married, working 40 hrs/wk. a week paid, UT, no need, travel expense.	40	#VALUE!	#VALUE!	#VALUE!
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 20 	10	21	Married, working 20 hrs/wk. a week unpaid, Rexburg, no need.	20	#VALUE!	#VALUE!	#VALUE!
			750	SP22	Need												Outside	Paid			working 30 	8	19	Single working 30 hrs/wk paid in AZ travel expense	30	#VALUE!	30	#VALUE!
			1,250.00	SP22	Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in WA with travel expense	40	 in WA	44	50
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in Rexburg 	40	#VALUE!	32	#VALUE!
			500	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 25 	8	19	Single working 25 hrs/wk unpaid in Idaho Falls with travel expense	25	 in Idaho Falls	32	47
			1,000.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with travel expense	40	 in UT	45	51
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in Rexburg with no need	40	 in Rexburg	31	42
			2,250.00	SP22	Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in CA with travel expense	40	 in CA	31	37
			184	SP22	Need	Rexburg											Eastern Idaho	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in Rexburg 	40	#VALUE!	44	#VALUE!
			625	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in Boise with travel expense	40	 in Boise	45	54
			1,750.00	SP22	Need												Outside	Paid	Yes	Yes	working 20 	23	34	Married international working 20 hrs/wk paid in UT supporting 2 households with travel expenses	20	 in UT supporting 2 households	45	75
			625	SP22	No Need												Outside	Unpaid			working 40 	8	19	Single working 40 hrs/wk unpaid in CA with no need, but travel expense	40	 in CA	32	38
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid	Yes	Yes	working 21 	34	45	Married with child international working 21 hrs/wk unpaid in Rexburg 	21	#VALUE!	58	8
			1,250.00	SP22	Need												Outside	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in UT with travel exense	20	 in UT	33	39
			375	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in WY with no need, but travel expense	40	 in WY	30	36
			250	SP22	No Need			Idaho Falls									Eastern Idaho	Unpaid		Yes	working 20 	9	20	Married working 20 hrs/wk unpaid in Idaho Falls with no need, but tavel expense	20	 in Idaho Falls	33	48
			1,000.00	SP22	Need												Outside	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in UT with travel expenses	40	 in UT	45	51
			500	SP22	Need												Outside	Paid	Yes		working 20 	22	33	Single international working 20 hrs/wk paid in UT with travel expense	20	 in UT	44	50
			250	SP22	No Need												Outside	Paid			working 40 	8	19	Single working 40 hrs/wk paid in WY with no need, but travel expense	40	 in WY	30	36
			250	SP22	No Need	Rexburg											Eastern Idaho	Unpaid		Yes	working  20 	9	21	Married working  20 hrs/wk unpaid in Rexburg with no need	20	 in Rexburg	34	45
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in rexburg with no need	40	 in rexburg	30	41
			375	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid with no need, but travel expense	40	#VALUE!	#VALUE!	44
			184	SP22	No Need			Idaho Falls									Eastern Idaho	Paid			working 20 	8	19	Single working 20 hrs/wk paid in Idaho Falls with no need but  travel expense	20	 in Idaho Falls	30	45
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	22	33	Single international working 20 hrs/wk unpaid in Rexburg  	20	#VALUE!	46	#VALUE!
			2,500.00	SP22	Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in PA with travel expense High cost of living	40	#VALUE!	42	8
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	22	33	Single international working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	46	#VALUE!
			1,000.00	SP22	Need							Ammon					Eastern Idaho	Paid	Yes	Yes	working 20 	34	45	Married with child international working 20 hrs/wk paid in Ammon with travel expense	20	#VALUE!	56	8
			184	SP22	Need	Rexburg											Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Rexburg 	40	#VALUE!	30	#VALUE!
			1,500.00	SP22	Need												Outside	Unpaid			working 40 	23	34	Single interrnational working 40 hrs/wk unpaid in NY with travel expense	40	 in NY	47	53
			500	SP22	No Need												Outside	Paid	Yes		working 40 	22	33	Single international working 40 hrs/wk paid in CO with no need but travel expense	40	 in CO	44	50
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 20 	22	33	Single international working 20 hrs/wk unpaid in Rexburg 	20	#VALUE!	46	#VALUE!
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid		Yes	working 32 	9	20	Married working 32 hrs/wk paid in Rexburg with no need	32	 in Rexburg	31	42
			1,750.00	SP22	Need												Outside	Paid		Yes	working 40 	20	31	Married with child working 40 hrs/wk paid in IA supporting 2 households with travel expense	40	#VALUE!	42	8
			875	SP22	Need												Outside	Paid	Yes	Yes	working 30 	23	34	Married international working 30 hrs/wk paid in FL with high rent and travel expenses	30	 in FL	45	51
			250	SP22	No Need												Outside	Paid			working 38 	8	19	Single working 38 hrs/wk paid in UT with no need, but travel expense	38	 in UT	30	36
Extra Space Storage	Business Analytics (UG20-BS)	4th year undergraduate/senior	625	SP22	No Need												Outside	Paid	Yes	Yes	working 20 	37	48	Married with children international working 20 hrs/wk paid in SLC with no need, but travel expense	20	#VALUE!	59	8
			500	SP22	Need	Rexburg											Eastern Idaho	Unpaid		Yes	working 25 	9	20	Married working 25 hrs/wk unpaid in Rexburg 	25	#VALUE!	33	#VALUE!
			500	SP22	Need			Idaho Falls									Eastern Idaho	Unpaid			working 20 	8	19	Single working 20 hrs/wk unpaid in Idaho falls with travel expense	20	 in Idaho falls	32	47
			375	SP22	No Need			Idaho Falls									Eastern Idaho	Paid	Yes	Yes	working 40 	23	34	Married international working 40 hrs/wk paid in Idaho Falls with no need with travel	40	 in Idaho Falls	45	60
			250	SP22	Need			Idaho Falls									Eastern Idaho	Paid			working 20 	19	30	Single US citizen working 20 hrs/wk a week paid in Idaho Falls. They do have financial need. They do have a travel expense.	20	#VALUE!	48	#VALUE!
			1,500.00	SP22	Need												Outside	Unpaid		Yes	working 40 	20	31	Married US citizen working 40 hrs/wk a week unpaid in Alaska. They do have financial need. They do have a travel expense.	40	#VALUE!	51	#VALUE!
			750	SP22	Need	Rexburg											Eastern Idaho	Unpaid	Yes		working 30 	30	41	Single International student working 30 hrs/wk a week unpaid in Rexburg. They do have financial need.	30	#VALUE!	61	#VALUE!
			184	SP22	No Need	Rexburg											Eastern Idaho	Paid			working 20 	19	30	Single US citizen working 20 hrs/wk a week paid in Rexburg. No need	20	#VALUE!	48	#VALUE!
			250	SP22	No Need												Outside	Unpaid		Yes	working 40 	20	31	Married US citizen working 40 hrs/wk a week unpaid in Arizona. No need. They do have a travel expense. 	40	#VALUE!	51	#VALUE!
			250	SP22	Need			Idaho Falls									Eastern Idaho	Paid		Yes	working 40 	20	31	Married US citizen working 40 hrs/wk a week paid in Idaho Falls. They do have a travel expense.	40	#VALUE!	49	#VALUE!
			500	SP22	No Need												Outside	Paid		Yes	working 40 	9	20	Married working 40 hrs/wk paid in WA supporting 2 households with no need, but travel expense	40	 in WA supporting 2 households	31	61
			184	SP22	No Need			Idaho Falls									Eastern Idaho	Paid			working 40 	8	19	Single working 40 hrs/wk paid in Idaho Falls with no need, but travel expense	40	 in Idaho Falls	30	45
